index,status,param_train_end,param_num_boost_round,param_learning_rate,param_num_leaves,param_feature_fraction,param_bagging_fraction,param_min_data_in_leaf,param_lambda_l1,param_lambda_l2,param_early_stopping_rounds,train_ic,train_ir,val_ic,val_ir,n_train_dates,n_val_dates,train_val_gap
120,ok,1700,280,0.05,48,0.8,0.8,50,0.001,0.01,20,0.3473146241456099,1.6053294932551754,0.06851556800100063,0.37541625124235734,1695,257,0.27879905614460926
121,ok,1800,240,0.05,31,0.8,0.6,50,0.001,0.001,30,0.3362129579141143,1.6647146651642306,0.11061391475778658,0.6432238721016857,1795,157,0.22559904315632773
122,ok,1700,280,0.05,16,0.8,0.8,80,0.0,0.001,30,0.2916314339413365,1.306198183531357,0.07488294767598266,0.38163020135789566,1695,257,0.21674848626535384
123,ok,1750,280,0.05,31,0.6,0.8,30,0.001,0.01,10,0.39915011461212674,1.9425159360594875,0.07660520860554919,0.4111336961415988,1745,207,0.32254490600657754
124,ok,1800,240,0.03,16,0.7,0.6,30,0.01,0.001,30,0.3208564683337949,1.5595952725400164,0.10919362580961399,0.5501587838107833,1795,157,0.21166284252418088
125,ok,1750,240,0.05,16,0.6,0.8,80,0.01,0.1,20,0.28681531819140493,1.3221405348455144,0.09117789836445574,0.4883315143716613,1745,207,0.1956374198269492
126,ok,1700,280,0.03,48,0.6,0.6,30,0.001,0.1,30,0.3894091049000304,1.8871107255683215,0.0889877303026911,0.4626999810339854,1695,257,0.3004213745973393
127,ok,1750,160,0.03,31,0.6,0.6,50,0.01,0.001,20,0.2921816837005743,1.3826142642726122,0.08544728838363207,0.4596876608327892,1745,207,0.2067343953169422
128,ok,1700,200,0.07,31,0.6,0.6,30,0.001,0.1,20,0.3537408844234994,1.6277264554753759,0.07215143995352197,0.4158036301795161,1695,257,0.2815894444699774
129,ok,1700,240,0.03,16,0.8,0.6,50,0.001,0.001,10,0.2617376132337726,1.1058638823975122,0.08145531137708696,0.3808946018126365,1695,257,0.18028230185668565
130,ok,1700,200,0.07,31,0.6,0.8,30,0.001,0.001,30,0.3969547142690571,1.8902841086869377,0.06137735703959215,0.3597639813145414,1695,257,0.33557735722946497
131,ok,1750,200,0.03,48,0.6,0.8,30,0.0,0.1,20,0.4083760650525567,2.027628199381355,0.08999756284374193,0.48516737852133257,1745,207,0.31837850220881475
132,ok,1800,160,0.07,31,0.7,0.7,30,0.001,0.001,10,0.36871601457509773,1.77220966099364,0.07895813581105993,0.45095892813930943,1795,157,0.2897578787640378
133,ok,1750,240,0.03,48,0.6,0.6,50,0.01,0.001,10,0.2634421333241559,1.17060668379831,0.08647910853882713,0.433510356958183,1745,207,0.17696302478532877
134,ok,1800,240,0.05,31,0.8,0.7,50,0.01,0.1,20,0.32429961041791805,1.6069633416180904,0.10199562336023765,0.5635186678437348,1795,157,0.2223039870576804
135,ok,1700,240,0.07,16,0.6,0.7,50,0.0,0.001,10,0.28195204645730415,1.2501762760349848,0.05209609809474477,0.2912450710386306,1695,257,0.22985594836255938
136,ok,1800,280,0.07,16,0.7,0.8,50,0.0,0.001,10,0.3016426915537088,1.4494013563125867,0.07559971165589578,0.4163411273354088,1795,157,0.22604297989781302
137,ok,1700,280,0.03,16,0.6,0.8,50,0.01,0.1,30,0.3214630131582272,1.4733388254025441,0.07052687358868569,0.3561914335910738,1695,257,0.25093613956954147
138,ok,1750,200,0.05,31,0.8,0.8,50,0.001,0.01,10,0.3405085564762286,1.6035255918612703,0.0787832516359983,0.4538486113133773,1745,207,0.26172530484023027
