index,status,train_end,param_num_boost_round,param_learning_rate,param_num_leaves,param_feature_fraction,param_bagging_fraction,param_min_data_in_leaf,param_lambda_l1,param_lambda_l2,param_early_stopping_rounds,train_ic,train_ir,val_ic,val_ir,n_train_dates,n_val_dates,train_val_gap
646,ok,1800,240,0.03,16,0.6,0.8,50,0.0,0.1,20,0.342680904861935,1.7339493464850393,0.09978938333206547,0.4949274687762832,1793,155,0.2428915215298695
647,ok,1800,200,0.05,16,0.8,0.8,50,0.01,0.001,10,0.3383567418628138,1.6784610579780932,0.09316604258605188,0.5244734401911418,1793,155,0.2451906992767619
648,ok,1800,280,0.07,48,0.7,0.7,30,0.001,0.1,10,0.4338561790768028,2.2515847360341263,0.08542492880849305,0.5657611360322884,1793,155,0.34843125026830973
649,ok,1800,160,0.07,31,0.8,0.7,30,0.0,0.001,30,0.4430326912073435,2.362351863035417,0.08554973726838225,0.5706558677154927,1793,155,0.35748295393896123
650,ok,1800,160,0.03,16,0.6,0.7,80,0.01,0.001,20,0.2897233758559673,1.4171140456049363,0.10208205301579511,0.5698694970733209,1793,155,0.1876413228401722
651,ok,1800,160,0.03,16,0.6,0.7,30,0.0,0.01,30,0.3772781865694861,1.9381148475627676,0.10974496327393547,0.6459819962765072,1793,155,0.2675332232955506
652,ok,1800,280,0.05,31,0.7,0.8,80,0.0,0.01,20,0.3365495048109949,1.7154423967100525,0.09824059214424329,0.5289319688687726,1793,155,0.23830891266675158
653,ok,1800,160,0.05,31,0.8,0.7,80,0.0,0.1,20,0.3114924041691256,1.563352242095516,0.08484080052810425,0.4987748289831913,1793,155,0.22665160364102135
654,ok,1800,200,0.03,16,0.7,0.8,50,0.0,0.001,20,0.34555792369584903,1.7628773647792777,0.1009251966900794,0.523165457521613,1793,155,0.24463272700576963
655,ok,1800,240,0.03,31,0.6,0.8,30,0.01,0.001,30,0.4396698663749243,2.420273811589846,0.10288983533390918,0.534745128661133,1793,155,0.3367800310410151
656,ok,1800,160,0.05,31,0.8,0.8,30,0.01,0.001,30,0.4582330075830808,2.552490408000262,0.09379875285134955,0.5749033527488825,1793,155,0.36443425473173124
657,ok,1800,160,0.07,31,0.8,0.6,80,0.01,0.001,10,0.25615312410018665,1.2347828567463504,0.10552728769958827,0.5851981785882353,1793,155,0.15062583640059837
658,ok,1800,160,0.07,16,0.8,0.6,30,0.001,0.01,30,0.3634063738185804,1.9082446361842276,0.08733262360104724,0.5483603508096649,1793,155,0.2760737502175331
659,ok,1800,240,0.05,48,0.8,0.8,80,0.001,0.001,20,0.31163792815469626,1.5501553521849856,0.08670263535326707,0.4697657405416049,1793,155,0.2249352928014292
660,ok,1800,240,0.05,31,0.8,0.6,80,0.0,0.001,30,0.28517778482972644,1.4005987221802982,0.10754995545789114,0.6333663660291983,1793,155,0.1776278293718353
661,ok,1800,240,0.03,16,0.8,0.7,80,0.01,0.1,30,0.3105974486136178,1.5772025362783648,0.0920304594235726,0.5326565538884307,1793,155,0.21856698919004522
662,ok,1800,160,0.05,31,0.7,0.8,80,0.001,0.01,20,0.3293398911864165,1.6689739449511631,0.09853588264787873,0.5259162563847284,1793,155,0.23080400853853777
663,ok,1800,200,0.05,48,0.7,0.6,30,0.001,0.001,30,0.4065809015329523,2.123582872192364,0.09207887067893207,0.5394616906191901,1793,155,0.31450203085402023
664,ok,1800,160,0.05,16,0.6,0.7,50,0.0,0.01,10,0.3297389289521817,1.6226436736323702,0.10415302925074786,0.607188798569943,1793,155,0.22558589970143383
665,ok,1800,160,0.05,16,0.8,0.7,30,0.001,0.1,10,0.3274714137714163,1.6134612970836366,0.08225818880252765,0.5475412187025874,1793,155,0.24521322496888864
666,ok,1800,280,0.05,16,0.6,0.8,50,0.0,0.01,30,0.3623659459938816,1.859846228766956,0.09163964678373565,0.4723590645405758,1793,155,0.27072629921014596
667,ok,1800,240,0.03,48,0.7,0.7,30,0.0,0.001,30,0.43087824491052235,2.3653852326665556,0.10170370160490116,0.5764957208514274,1793,155,0.3291745433056212
668,ok,1800,200,0.05,31,0.7,0.7,80,0.0,0.1,10,0.29180082351086006,1.4086832322607614,0.09016347521085043,0.5346155322234745,1793,155,0.20163734830000962
669,ok,1800,160,0.07,31,0.7,0.6,80,0.0,0.001,10,0.24867760973253958,1.1970379401711533,0.08758593913151616,0.5019153990809551,1793,155,0.16109167060102342
670,ok,1800,200,0.07,16,0.6,0.8,30,0.0,0.01,30,0.38645217446623786,2.0259384674836105,0.10104515051206645,0.6234908411822223,1793,155,0.2854070239541714
671,ok,1800,280,0.05,16,0.6,0.7,80,0.01,0.001,10,0.28793248572074054,1.4097583158688662,0.10041091513751745,0.6096280537308103,1793,155,0.1875215705832231
672,ok,1800,240,0.03,48,0.7,0.8,80,0.001,0.001,10,0.29052033058058974,1.375215469623311,0.10494293992483979,0.5315232372194558,1793,155,0.18557739065574996
673,ok,1800,200,0.03,31,0.6,0.8,80,0.001,0.001,30,0.3455354428092435,1.7304190090088152,0.09777219659547375,0.520568356247747,1793,155,0.24776324621376972
674,ok,1800,280,0.03,48,0.7,0.7,30,0.01,0.1,30,0.4332261086090089,2.37938546245413,0.0996373627944874,0.5589972074328389,1793,155,0.33358874581452147
675,ok,1800,200,0.03,48,0.6,0.6,30,0.0,0.1,10,0.36287432565160305,1.8130501234122247,0.10490995142910353,0.5810242954566142,1793,155,0.2579643742224995
676,ok,1800,240,0.03,16,0.6,0.6,50,0.0,0.01,30,0.33811769792362995,1.720448912375358,0.10127120894948943,0.5324720052197637,1793,155,0.2368464889741405
677,ok,1800,240,0.07,31,0.6,0.6,30,0.001,0.01,10,0.38791252194191733,1.978410284358614,0.08314356909105208,0.5237984298583502,1793,155,0.30476895285086525
678,ok,1800,240,0.03,31,0.7,0.7,30,0.001,0.001,20,0.4152047489708411,2.2373404391418754,0.10123477923339451,0.5693157827744522,1793,155,0.31396996973744656
679,ok,1800,160,0.07,31,0.6,0.7,30,0.001,0.01,30,0.44532010882937845,2.4185608704811203,0.0883454115239747,0.5546822240413427,1793,155,0.35697469730540377
680,ok,1800,200,0.03,31,0.8,0.7,50,0.01,0.1,20,0.34770226657569026,1.7864980947720288,0.10095370451056523,0.556673541565249,1793,155,0.24674856206512502
681,ok,1800,280,0.03,48,0.8,0.6,50,0.01,0.01,30,0.33440411858908836,1.705157721493991,0.09932427908151055,0.5216551142367737,1793,155,0.23507983950757783
682,ok,1800,240,0.05,48,0.7,0.8,30,0.001,0.01,20,0.47244204840330883,2.685504369123181,0.09074483372973494,0.5333994153088042,1793,155,0.38169721467357387
683,ok,1800,160,0.05,31,0.6,0.8,30,0.001,0.01,30,0.4564716785936165,2.5231931160857455,0.09150877568437897,0.5462717664143237,1793,155,0.3649629029092375
684,ok,1800,240,0.05,48,0.7,0.6,30,0.001,0.01,30,0.40724163524757645,2.1265448655985253,0.0916196631946056,0.5345658120809864,1793,155,0.3156219720529708
685,ok,1800,280,0.05,16,0.7,0.7,50,0.01,0.01,10,0.3359809518804815,1.6724113359749846,0.09238977954424622,0.5371382111733105,1793,155,0.24359117233623528
686,ok,1800,160,0.07,16,0.6,0.7,50,0.0,0.1,30,0.37533455364403334,1.938648409843762,0.10728985234852419,0.6772760421862378,1793,155,0.26804470129550917
687,ok,1800,200,0.05,16,0.8,0.7,80,0.0,0.01,30,0.324610631946877,1.657772046217951,0.08348283767949176,0.4996164290631338,1793,155,0.24112779426738523
688,ok,1800,240,0.07,48,0.8,0.7,80,0.01,0.001,10,0.31232633402074217,1.5579697794903828,0.0852913387523674,0.5251158857604357,1793,155,0.22703499526837478
689,ok,1800,280,0.07,16,0.6,0.7,80,0.001,0.01,10,0.29492806786932685,1.4629162908668756,0.09586666098282678,0.5281003666293134,1793,155,0.19906140688650006
690,ok,1800,280,0.07,48,0.7,0.8,30,0.01,0.001,10,0.46503011480719636,2.56590604277763,0.0780900597628127,0.5033308308142028,1793,155,0.38694005504438367
691,ok,1800,200,0.07,48,0.8,0.7,30,0.001,0.001,10,0.4151682802865651,2.124934706602019,0.08004345040278518,0.56277658120292,1793,155,0.3351248298837799
